greenness degree,cleanliness degree,crowdedness degree,noisy degree,skin feeling degree,stress degree,personal aqi degree,safety degree,hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,num_people,num_motorcycles,num_cars,rms_contrast,Temperature,Dew Point,Humidity,Wind Speed,Pressure
4.0,4.0,5.0,5.0,4.0,4.0,1.0,4.0,99.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,4.167300647663692,12,4,4,85.1217046581113,27.77777777777778,21.11111111111111,66,8,29.85
2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,64.0,32.0,0.0,0.0,1.0,0.0,0.0,1.0,2.3967494788418207,11,6,0,68.45822336781995,31.11111111111111,17.77777777777778,46,15,29.73
3.0,3.0,5.0,5.0,2.0,2.0,2.0,2.0,70.0,38.0,0.0,0.0,0.0,1.0,1.0,0.0,2.232651959514643,13,8,3,74.67657832994875,32.77777777777778,18.88888888888889,43,7,29.82
2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,57.0,43.0,1.0,1.0,0.0,0.0,1.0,0.0,3.960083573718105,11,7,2,74.28494205050472,32.77777777777778,17.77777777777778,41,5,29.76
4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,80.0,29.0,0.0,0.0,0.0,1.0,0.0,1.0,4.198610290901764,4,1,0,51.14684279346238,26.11111111111111,17.77777777777778,61,6,29.85
2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,77.0,39.0,0.0,1.0,0.0,0.0,1.0,0.0,2.398515618907028,11,12,1,59.60095967888032,35.0,17.77777777777778,36,5,29.76
4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,67.0,32.0,0.0,0.0,0.0,1.0,0.0,1.0,5.225498068981291,15,8,0,74.72601087141372,30.0,17.77777777777778,48,6,29.85
2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,64.0,38.0,0.0,1.0,0.0,0.0,1.0,0.0,4.810934773965268,7,4,0,59.175471258700135,32.77777777777778,17.22222222222222,38,6,29.82
2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,85.0,31.0,0.0,0.0,0.0,1.0,0.0,1.0,3.400195833711558,6,5,1,51.5418886919466,27.77777777777778,21.11111111111111,66,2,29.85
3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,79.0,33.0,0.0,1.0,0.0,0.0,1.0,0.0,2.1319780909505783,10,6,0,77.22346061952733,33.888888888888886,18.88888888888889,41,6,29.79
3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,79.0,29.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0954843621009314,10,7,3,60.42717953415106,27.77777777777778,21.11111111111111,66,3,29.85
2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,74.0,36.0,0.0,1.0,0.0,0.0,1.0,0.0,2.2665899613387137,1,1,2,59.812860566103936,32.77777777777778,18.88888888888889,43,3,29.82
2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,49.0,32.0,0.0,0.0,1.0,0.0,0.0,1.0,4.811684359158321,11,5,2,67.45777736197373,31.11111111111111,17.22222222222222,43,13,29.73
1.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,74.0,40.0,1.0,1.0,0.0,0.0,1.0,0.0,4.876151993380595,6,8,0,68.19357667227001,32.77777777777778,18.88888888888889,43,6,29.79
2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,73.0,33.0,0.0,0.0,0.0,1.0,1.0,0.0,4.855726443370384,11,9,2,69.39125904408961,30.0,20.0,55,3,29.88
3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,77.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,5.169942873189839,8,6,0,80.23447037154324,31.11111111111111,21.11111111111111,55,9,29.73
2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,59.0,37.0,0.0,1.0,0.0,0.0,1.0,0.0,3.202561632503542,6,6,2,66.90363629721024,33.888888888888886,17.77777777777778,38,8,29.79
1.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,71.0,32.0,0.0,0.0,1.0,0.0,0.0,1.0,5.223817080153297,5,3,4,63.73091819999086,31.11111111111111,20.0,52,12,29.73
2.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,61.0,37.0,0.0,1.0,0.0,0.0,1.0,0.0,3.202561632503542,8,7,2,73.85870250229516,33.888888888888886,17.77777777777778,38,8,29.79
2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,81.0,33.0,0.0,0.0,1.0,0.0,0.0,1.0,2.396681937392536,8,4,1,63.70054684513715,32.22222222222222,20.0,49,9,29.7
4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,78.0,31.0,0.0,0.0,0.0,1.0,0.0,1.0,2.2254656657939043,9,7,3,80.10019010456243,27.77777777777778,21.11111111111111,66,3,29.85
1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,62.0,41.0,0.0,1.0,0.0,0.0,1.0,0.0,4.715755772923994,7,6,3,62.5250325556691,35.0,16.11111111111111,32,3,29.76
1.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,99.0,29.0,0.0,0.0,0.0,1.0,0.0,1.0,5.218414939998898,7,6,2,71.21781861730692,27.77777777777778,21.11111111111111,66,8,29.85
2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,87.0,35.0,0.0,1.0,0.0,0.0,1.0,0.0,2.3067698539339285,7,2,1,63.69310167080552,32.22222222222222,18.88888888888889,46,8,29.91
2.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,64.0,38.0,0.0,1.0,0.0,0.0,1.0,0.0,2.609031432235393,8,5,1,65.54328379404842,32.77777777777778,17.22222222222222,38,6,29.82
3.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,95.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,4.8139970286596325,12,5,0,82.41336243130709,27.77777777777778,21.11111111111111,66,8,29.82
2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,61.0,37.0,0.0,1.0,0.0,0.0,1.0,0.0,2.5927916196567757,7,6,1,53.52672889412543,32.22222222222222,17.22222222222222,40,3,29.82
1.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,92.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,4.839458770895119,5,7,2,63.671335543988455,31.11111111111111,20.0,52,10,29.76
4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,63.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,2.2325097531474354,5,5,3,69.62008425478871,31.11111111111111,17.77777777777778,46,8,29.79
2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,70.0,38.0,0.0,1.0,0.0,0.0,1.0,0.0,3.9678334083983664,10,8,1,66.46587970219923,35.0,18.88888888888889,39,6,29.76
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,74.0,32.0,0.0,0.0,0.0,1.0,0.0,1.0,4.855726443370384,10,8,2,75.14913870171979,28.88888888888889,20.0,58,2,29.88
2.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,96.0,28.0,0.0,0.0,0.0,1.0,0.0,1.0,2.3962253816710355,10,7,0,75.66054270473211,27.77777777777778,21.11111111111111,66,12,29.85
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,86.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,2.5328729954945564,9,4,2,67.70546568049369,31.11111111111111,20.0,52,13,29.73
2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,79.0,33.0,0.0,0.0,0.0,1.0,0.0,1.0,1.8283233477342271,7,6,1,50.858326824428865,27.77777777777778,21.11111111111111,66,2,29.85
3.0,3.0,5.0,5.0,2.0,2.0,2.0,2.0,84.0,36.0,0.0,0.0,0.0,1.0,1.0,0.0,2.232651959514643,11,6,2,72.39462284936391,32.77777777777778,18.88888888888889,43,7,29.82
2.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,99.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,2.6858064801412755,7,4,3,75.9122489433148,28.88888888888889,21.11111111111111,62,10,29.88
2.0,2.0,5.0,5.0,4.0,2.0,4.0,3.0,99.0,29.0,0.0,0.0,0.0,1.0,0.0,1.0,4.167300647663692,11,3,0,82.13628115415517,27.77777777777778,21.11111111111111,66,12,29.85
2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,72.0,32.0,0.0,0.0,1.0,0.0,0.0,1.0,5.169942873189839,11,8,0,75.77144746819194,31.11111111111111,21.11111111111111,55,9,29.73
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,76.0,39.0,0.0,1.0,0.0,0.0,1.0,0.0,2.614029457958729,9,7,6,67.1611400838213,33.888888888888886,18.88888888888889,41,6,29.79
4.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,73.0,35.0,0.0,1.0,0.0,0.0,1.0,0.0,2.3067698539339285,6,6,3,56.3442759026632,32.22222222222222,18.88888888888889,46,8,29.91
2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,61.0,40.0,0.0,1.0,0.0,0.0,1.0,0.0,3.960083573718105,6,7,5,68.49639061074085,32.77777777777778,17.77777777777778,41,5,29.76
1.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,64.0,38.0,0.0,1.0,0.0,0.0,1.0,0.0,4.810934773965268,11,8,0,57.31180687971221,33.888888888888886,17.77777777777778,38,3,29.79
3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,67.0,32.0,0.0,0.0,0.0,1.0,0.0,1.0,4.311316225966489,7,6,4,62.16920764438701,30.0,17.77777777777778,48,6,29.85
5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,67.0,32.0,0.0,0.0,0.0,1.0,0.0,1.0,4.311316225966489,4,4,1,53.469142206673574,30.0,17.77777777777778,48,6,29.85
2.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,96.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,5.184178315659661,11,10,1,81.75554072565787,30.0,20.0,55,12,29.73
1.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,77.0,39.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0569501138720883,3,2,0,64.02466851693397,35.0,17.22222222222222,34,5,29.76
4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,55.0,32.0,0.0,0.0,0.0,1.0,0.0,1.0,2.4483142457854457,11,12,6,72.8656634837887,28.88888888888889,20.0,58,2,29.88
2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,76.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,5.169942873189839,2,2,3,85.04911839836964,31.11111111111111,21.11111111111111,55,9,29.73
4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,91.0,32.0,0.0,0.0,1.0,0.0,0.0,1.0,2.5328729954945564,6,5,3,64.53222502341954,31.11111111111111,20.0,52,13,29.73
5.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,79.0,27.0,0.0,0.0,0.0,1.0,0.0,1.0,2.3072409411780925,11,9,3,56.08192676536954,25.0,17.77777777777778,65,5,29.82
4.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,91.0,32.0,0.0,0.0,1.0,0.0,0.0,1.0,4.839458770895119,6,4,2,73.14441111939658,31.11111111111111,20.0,52,10,29.76
1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,32.0,0.0,0.0,1.0,0.0,0.0,1.0,2.7791099888271966,8,5,0,61.937362139840424,32.22222222222222,20.0,49,12,29.7
1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,57.0,40.0,0.0,1.0,0.0,0.0,1.0,0.0,4.832087982081858,8,9,1,62.14530162529239,32.22222222222222,15.0,36,3,29.79
3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,77.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,5.147828680575263,2,3,0,63.34433615714945,27.22222222222222,17.77777777777778,58,3,29.85
3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,70.0,38.0,0.0,1.0,0.0,0.0,1.0,0.0,3.9678334083983664,10,6,2,68.97648559797513,33.888888888888886,18.88888888888889,41,6,29.79
4.0,3.0,5.0,5.0,4.0,3.0,3.0,4.0,71.0,34.0,0.0,1.0,0.0,0.0,1.0,0.0,2.3067698539339285,3,1,0,55.4230479197335,32.22222222222222,18.88888888888889,46,8,29.91
2.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,80.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0954843621009314,8,7,5,59.5584656624339,27.77777777777778,21.11111111111111,66,3,29.85
2.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,80.0,35.0,0.0,1.0,0.0,0.0,1.0,0.0,2.3067698539339285,7,0,5,65.0202204129689,32.22222222222222,18.88888888888889,46,8,29.91
2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,86.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,3.969815416337179,9,3,2,81.92274919747878,31.11111111111111,20.0,52,9,29.73
1.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,88.0,29.0,0.0,0.0,0.0,1.0,0.0,1.0,4.190769802088732,9,3,1,67.20437216161693,27.77777777777778,21.11111111111111,66,2,29.85
2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,81.0,27.0,0.0,0.0,0.0,1.0,0.0,1.0,2.3072409411780925,13,8,1,69.40389870301546,26.11111111111111,17.77777777777778,61,6,29.85
2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,78.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,4.822936084953792,13,8,0,71.8981864693412,27.77777777777778,21.11111111111111,66,3,29.88
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,79.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,1.6093756259181984,0,0,0,3.5464485356098163,30.0,20.0,55,16,29.76
2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,84.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,5.184178315659661,8,7,0,72.73272556623506,31.11111111111111,20.0,52,13,29.73
3.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,60.0,38.0,1.0,1.0,0.0,0.0,1.0,0.0,3.202561632503542,9,6,1,66.99635874589437,33.888888888888886,17.77777777777778,38,8,29.79
1.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,71.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,3.957380709538033,10,5,2,69.19380437935008,30.0,17.77777777777778,48,10,29.79
