timestamp,hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,Temperature,Dew Point,Humidity,Wind Speed,Pressure
2020-02-28 07:48:55,62,27,0,0.0,0.0,1.0,0.0,1.0,2.771266732623629,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:49:07,62,28,0,0.0,0.0,1.0,0.0,1.0,2.7383525187545907,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:49:30,61,27,0,0.0,0.0,1.0,0.0,1.0,2.683521169270162,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:50:15,65,28,0,0.0,0.0,1.0,0.0,1.0,2.5864295376259667,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:50:34,68,28,0,0.0,0.0,1.0,0.0,1.0,2.5394943206621097,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:51:04,75,28,0,0.0,0.0,1.0,0.0,1.0,2.4846294144897425,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:51:34,78,28,0,0.0,0.0,1.0,0.0,1.0,2.436374102923686,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:52:12,78,28,0,0.0,0.0,1.0,0.0,1.0,2.422855261446028,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:52:56,81,28,0,0.0,0.0,1.0,0.0,1.0,2.420065104631896,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:53:10,82,27,0,0.0,0.0,1.0,0.0,1.0,2.418819933352955,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:53:37,87,28,0,0.0,0.0,1.0,0.0,1.0,2.4182917556944177,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:54:05,86,28,0,0.0,0.0,1.0,0.0,1.0,2.417733307661777,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:54:57,90,28,0,0.0,0.0,1.0,0.0,1.0,2.3474267117778904,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:55:27,83,27,0,0.0,0.0,1.0,0.0,1.0,2.301955146747632,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:55:38,83,27,0,0.0,0.0,1.0,0.0,1.0,2.2863665257896706,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:56:08,77,27,0,0.0,0.0,1.0,0.0,1.0,2.2609057001495403,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:56:47,79,27,0,0.0,0.0,1.0,0.0,1.0,2.257437425975084,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:57:23,79,27,0,0.0,0.0,1.0,0.0,1.0,2.334892450139205,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:57:34,80,27,0,0.0,0.0,1.0,0.0,1.0,2.336875645125066,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:58:18,79,26,0,0.0,0.0,1.0,0.0,1.0,2.3442042992345864,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:58:46,80,28,0,0.0,0.0,1.0,0.0,1.0,2.346235727232988,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:59:20,80,28,0,0.0,0.0,1.0,0.0,1.0,2.3464464857329657,25.0,17.77777777777778,65,5,29.82
2020-02-28 07:59:39,79,27,0,0.0,0.0,1.0,0.0,1.0,2.346937689853504,25.0,17.77777777777778,65,5,29.82
2020-02-28 08:00:29,78,27,0,0.0,0.0,1.0,0.0,1.0,2.485457524494059,26.11111111111111,17.77777777777778,61,6,29.85
2020-02-28 08:00:32,77,27,0,0.0,0.0,1.0,0.0,1.0,2.4926831174681463,26.11111111111111,17.77777777777778,61,6,29.85
2020-02-28 08:01:28,80,27,0,0.0,0.0,1.0,0.0,1.0,2.579914866626765,26.11111111111111,17.77777777777778,61,6,29.85
2020-02-28 08:01:33,80,28,0,0.0,0.0,1.0,0.0,1.0,2.5798594252525144,26.11111111111111,17.77777777777778,61,6,29.85
2020-02-28 08:02:03,81,27,0,0.0,0.0,1.0,0.0,1.0,2.5819461655792213,26.11111111111111,17.77777777777778,61,6,29.85
2020-02-28 08:02:58,80,27,0,0.0,0.0,1.0,0.0,1.0,2.611743566082228,26.11111111111111,17.77777777777778,61,6,29.85
2020-02-28 08:03:17,81,27,0,0.0,0.0,1.0,0.0,1.0,2.6148270938121594,26.11111111111111,17.77777777777778,61,6,29.85
2020-02-28 08:03:44,80,27,0,0.0,0.0,1.0,0.0,1.0,2.6187937918766733,26.11111111111111,17.77777777777778,61,6,29.85
2020-02-28 08:04:03,81,27,0,0.0,0.0,1.0,0.0,1.0,2.6192154151243026,26.11111111111111,17.77777777777778,61,6,29.85
2020-02-28 08:04:33,82,27,0,0.0,0.0,1.0,0.0,1.0,2.6513399966364077,26.11111111111111,17.77777777777778,61,6,29.85
2020-02-28 08:05:14,82,28,0,0.0,0.0,1.0,0.0,1.0,2.8077846212219764,26.11111111111111,17.77777777777778,61,6,29.85
2020-02-28 08:05:33,82,28,0,0.0,0.0,1.0,0.0,1.0,2.8847896315397823,26.11111111111111,17.77777777777778,61,6,29.85
2020-02-28 08:06:15,86,28,0,0.0,0.0,1.0,0.0,1.0,3.0549749681203195,26.11111111111111,17.77777777777778,61,6,29.85
2020-02-28 08:06:53,81,27,0,0.0,0.0,1.0,0.0,1.0,3.1591184922217583,26.11111111111111,17.77777777777778,61,6,29.85
2020-02-28 08:07:23,83,27,0,0.0,0.0,1.0,0.0,1.0,3.2463821350897217,26.11111111111111,17.77777777777778,61,6,29.85
2020-02-28 08:07:37,83,27,0,0.0,0.0,1.0,0.0,1.0,3.245211020159932,26.11111111111111,17.77777777777778,61,6,29.85
