greenness degree,cleanliness degree,crowdedness degree,noisy degree,skin feeling degree,stress degree,personal aqi degree,safety degree,hum,tem,uv,part_of_day_Afternoon,part_of_day_Early Morning,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport
2,2,4,3,2,1,3,2,61.0,34,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.30072547608243
2,2,5,4,2,2,3,2,49.0,37,68.0,0.0,0.0,1.0,0.0,0.0,1.0,5.694328120729331
3,3,1,1,5,4,1,5,75.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.500711276745419
4,3,5,4,3,2,2,2,87.0,28,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.069051497141363
2,3,3,3,4,4,3,3,51.0,36,75.0,0.0,0.0,0.0,1.0,1.0,0.0,7.377849421660378
1,1,3,3,2,2,2,2,53.0,36,50.0,1.0,0.0,0.0,0.0,1.0,0.0,5.5698732630988665
1,2,3,4,2,2,2,3,59.0,35,52.0,1.0,0.0,0.0,0.0,1.0,0.0,7.1531567968860434
3,5,4,3,3,3,3,3,63.0,32,92.0,0.0,0.0,0.0,1.0,0.0,1.0,6.425168347213409
2,2,4,3,1,1,4,1,68.0,33,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.410632053795693
2,2,2,2,3,3,3,2,59.0,35,52.0,1.0,0.0,0.0,0.0,1.0,0.0,7.1531567968860434
4,4,3,3,4,4,2,4,74.0,31,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.432676848378437
2,2,3,3,3,2,2,3,56.0,35,601.0,1.0,0.0,0.0,0.0,1.0,0.0,6.421921126183198
2,2,3,3,2,3,2,2,54.0,36,773.0,0.0,0.0,1.0,0.0,0.0,1.0,7.1546814231299285
5,5,3,3,4,4,2,4,69.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.552040945996955
4,3,3,3,4,3,2,3,66.0,33,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.201964291736032
3,3,3,2,3,4,4,4,47.0,37,2.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0677836043218205
2,2,3,3,3,3,2,4,55.0,36,26.0,0.0,0.0,0.0,1.0,0.0,1.0,7.398967478187786
2,3,3,4,4,3,3,2,62.0,32,15.0,0.0,0.0,0.0,1.0,0.0,1.0,7.059676141035869
2,4,3,3,4,4,2,3,69.0,31,3.0,0.0,0.0,0.0,1.0,0.0,1.0,6.300804986904532
3,3,2,2,4,4,1,4,75.0,31,2.0,0.0,0.0,0.0,1.0,0.0,1.0,5.565917207288112
4,4,2,2,4,4,2,4,75.0,31,2.0,0.0,0.0,0.0,1.0,0.0,1.0,5.565917207288112
3,3,3,3,4,3,4,3,73.0,32,10.0,0.0,0.0,0.0,1.0,0.0,1.0,7.029398592711106
5,4,4,3,2,2,3,3,48.0,37,41.0,1.0,0.0,0.0,0.0,1.0,0.0,6.435284427939396
2,3,4,4,1,3,3,2,44.0,38,96.0,0.0,0.0,0.0,1.0,1.0,0.0,5.581282407920349
3,4,5,5,1,1,2,2,88.0,28,2.0,0.0,0.0,0.0,1.0,0.0,1.0,5.565722894430606
2,2,3,3,2,2,2,3,78.0,31,87.0,1.0,0.0,0.0,0.0,1.0,0.0,7.140344541456088
2,1,3,3,2,1,2,2,52.0,35,138.0,0.0,0.0,0.0,1.0,1.0,0.0,8.31717429411227
3,3,3,3,3,2,2,3,67.0,33,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.4246916304081845
3,3,3,3,4,4,3,3,80.0,31,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.644312533684778
3,4,2,2,3,3,3,2,53.0,36,32.0,0.0,0.0,1.0,0.0,0.0,1.0,6.59691539667665
4,3,3,2,5,5,1,4,59.0,34,10.0,0.0,0.0,0.0,1.0,0.0,1.0,6.144434038242368
3,4,3,3,2,2,4,2,69.0,33,52.0,0.0,0.0,0.0,1.0,0.0,1.0,6.7080479974983245
2,2,5,5,1,1,5,2,63.0,34,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.553056288772904
3,3,3,3,3,3,3,3,74.0,31,18.0,0.0,0.0,1.0,0.0,0.0,1.0,5.529236365312432
3,3,2,1,4,4,1,5,49.0,37,68.0,0.0,0.0,1.0,0.0,0.0,1.0,5.694328120729331
3,3,3,4,5,5,3,4,80.0,30,50.0,0.0,0.0,1.0,0.0,0.0,1.0,7.381858537561753
1,1,3,3,2,2,3,2,68.0,33,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.410632053795693
2,3,1,1,4,4,2,4,55.0,36,103.0,1.0,0.0,0.0,0.0,1.0,0.0,7.154470031235273
2,2,1,1,5,5,1,5,69.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.552040945996955
3,5,3,3,4,3,3,3,74.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.670085342865881
3,3,4,4,2,2,3,2,49.0,37,68.0,0.0,0.0,1.0,0.0,0.0,1.0,5.694328120729331
1,1,4,5,3,2,2,1,68.0,33,72.0,0.0,0.0,0.0,1.0,0.0,1.0,8.12726530664003
2,4,3,2,3,4,2,4,68.0,33,67.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0809916389826775
3,2,4,5,3,2,4,2,78.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.23432907639552
2,3,2,2,3,2,2,3,53.0,36,57.0,0.0,0.0,0.0,1.0,1.0,0.0,8.308330501246058
4,5,5,4,3,4,4,2,72.0,32,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.609591253256909
4,4,3,3,4,5,2,4,77.0,31,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.644202397852575
2,4,3,4,2,3,4,2,69.0,31,43.0,1.0,0.0,0.0,0.0,1.0,0.0,6.922272506415986
2,2,4,4,3,3,3,3,67.0,32,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.434925562781158
4,3,3,2,3,4,2,3,62.0,34,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.5327577214313575
2,2,3,2,1,1,4,1,60.0,34,56.0,1.0,0.0,0.0,0.0,1.0,0.0,8.274855957977465
2,2,3,3,3,3,3,3,67.0,32,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.139657270612567
3,2,3,2,3,2,4,2,71.0,32,14.0,0.0,0.0,1.0,0.0,0.0,1.0,7.149673755912144
4,3,3,3,4,4,3,4,49.0,37,2.0,0.0,0.0,0.0,1.0,0.0,1.0,6.721987676183449
3,3,5,4,2,2,4,1,56.0,35,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.572492658972119
2,2,3,3,3,3,2,2,60.0,34,664.0,1.0,0.0,0.0,0.0,1.0,0.0,7.203266530765332
1,1,4,4,3,3,3,3,59.0,33,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.965964640839946
5,5,3,3,5,4,4,4,65.0,32,18.0,1.0,0.0,0.0,0.0,1.0,0.0,7.031416408475003
1,1,4,4,2,2,3,2,59.0,34,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.351629912900599
3,3,3,3,2,2,2,2,78.0,31,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.574105052449228
3,3,2,2,5,5,2,5,60.0,34,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.254840915406108
2,2,2,2,4,4,1,2,68.0,33,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.32167051329657
3,3,2,2,3,3,2,3,68.0,33,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.32167051329657
3,3,3,3,2,2,3,3,49.0,37,68.0,1.0,0.0,0.0,0.0,1.0,0.0,5.7365276080147565
3,4,3,3,4,3,2,3,68.0,33,72.0,0.0,0.0,0.0,1.0,0.0,1.0,8.12726530664003
1,1,3,2,2,2,2,2,60.0,34,664.0,1.0,0.0,0.0,0.0,1.0,0.0,7.203266530765332
1,3,2,2,2,2,4,2,53.0,36,68.0,1.0,0.0,0.0,0.0,1.0,0.0,6.870226986149198
3,3,3,2,4,4,3,3,60.0,34,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.581443851207809
2,3,3,3,3,3,2,3,57.0,36,83.0,1.0,0.0,0.0,0.0,1.0,0.0,7.079080092065323
3,3,5,5,3,1,4,2,63.0,34,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.8350110521422645
2,2,4,4,3,3,3,3,67.0,32,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.139657270612567
3,4,3,4,4,3,3,3,76.0,31,2.0,0.0,0.0,0.0,1.0,0.0,1.0,6.46835385483181
3,3,2,2,4,4,2,4,69.0,33,21.0,0.0,0.0,1.0,0.0,0.0,1.0,6.986278427652821
3,3,2,2,4,4,1,5,49.0,37,68.0,1.0,0.0,0.0,0.0,1.0,0.0,5.7365276080147565
4,3,2,2,5,5,1,5,58.0,35,72.0,0.0,0.0,0.0,1.0,0.0,1.0,7.186628104932962
2,2,4,4,2,2,4,2,67.0,33,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.4246916304081845
2,3,3,3,1,3,3,3,81.0,30,43.0,0.0,0.0,0.0,1.0,1.0,0.0,6.903423226411491
3,1,2,2,3,3,2,3,68.0,33,9.0,1.0,0.0,0.0,0.0,1.0,0.0,7.224717673201067
