hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport
90,31,0,0.0,1.0,0.0,0.0,1.0,2.189695291065933
73,32,0,0.0,1.0,0.0,0.0,1.0,3.516094201796795
86,29,0,0.0,0.0,1.0,0.0,1.0,4.787988821663597
99,30,0,0.0,0.0,1.0,0.0,1.0,2.6099611788363903
79,30,0,0.0,0.0,1.0,0.0,1.0,3.6406295068503782
87,31,0,0.0,1.0,0.0,0.0,1.0,2.4157862389572595
75,31,0,0.0,1.0,0.0,0.0,1.0,2.5687168545124868
79,30,0,0.0,0.0,1.0,0.0,1.0,3.298639340138158
56,45,0,1.0,0.0,0.0,1.0,0.0,3.331550293045157
71,31,0,0.0,1.0,0.0,0.0,1.0,2.261012718310292
53,31,0,0.0,1.0,0.0,0.0,1.0,2.2524383588986785
55,45,0,1.0,0.0,0.0,1.0,0.0,2.2110343309361142
80,29,0,0.0,0.0,1.0,0.0,1.0,3.141209427398602
48,32,0,0.0,1.0,0.0,0.0,1.0,4.4372212846458
89,31,0,0.0,1.0,0.0,0.0,1.0,5.116332010813005
72,35,0,1.0,0.0,0.0,1.0,0.0,2.6246833040603663
54,41,0,1.0,0.0,0.0,1.0,0.0,2.2811925459516003
76,39,1,0.0,0.0,1.0,1.0,0.0,2.3809121777311213
50,43,0,1.0,0.0,0.0,1.0,0.0,3.5079525309060635
72,30,0,0.0,1.0,0.0,0.0,1.0,4.795951750741227
57,45,1,1.0,0.0,0.0,1.0,0.0,3.3936080242490236
87,31,0,0.0,0.0,1.0,0.0,1.0,2.4863173022810665
74,30,0,0.0,1.0,0.0,0.0,1.0,3.9738008926960133
70,29,0,0.0,0.0,1.0,0.0,1.0,3.869209310155063
61,39,0,1.0,0.0,0.0,1.0,0.0,2.624009620114764
79,30,0,0.0,0.0,1.0,0.0,1.0,2.2460127651390773
71,30,0,0.0,1.0,0.0,0.0,1.0,5.175775890205225
79,38,0,1.0,0.0,0.0,1.0,0.0,3.4399602753804785
72,36,0,1.0,0.0,0.0,1.0,0.0,3.4408596237454017
50,31,0,0.0,1.0,0.0,0.0,1.0,3.6057054522110055
99,31,0,0.0,0.0,1.0,0.0,1.0,2.6864207541594785
64,35,0,1.0,0.0,0.0,1.0,0.0,4.783730615865738
73,31,0,0.0,1.0,0.0,0.0,1.0,4.81948903355107
91,31,0,0.0,0.0,1.0,0.0,1.0,2.559053271251392
89,33,0,0.0,0.0,1.0,0.0,1.0,2.4965179465187366
61,39,0,1.0,0.0,0.0,1.0,0.0,2.3845784508917367
82,40,0,1.0,0.0,0.0,1.0,0.0,4.683013655943783
76,31,0,0.0,1.0,0.0,0.0,1.0,2.221091575586169
64,33,0,0.0,1.0,0.0,0.0,1.0,3.4012225823071547
64,33,0,0.0,1.0,0.0,0.0,1.0,3.3543269745026176
84,29,0,0.0,0.0,1.0,0.0,1.0,2.2557232320724565
64,40,0,1.0,0.0,0.0,1.0,0.0,3.2547714629594413
89,30,0,0.0,1.0,0.0,0.0,1.0,4.869501209450252
77,31,0,0.0,1.0,0.0,0.0,1.0,5.229193651054813
67,32,0,0.0,0.0,1.0,0.0,1.0,2.55434133408221
54,42,1,1.0,0.0,0.0,1.0,0.0,3.3305341792493097
42,31,0,0.0,1.0,0.0,0.0,1.0,3.086352844874208
79,30,0,0.0,0.0,1.0,0.0,1.0,4.246155564124639
58,37,0,1.0,0.0,0.0,1.0,0.0,2.884592579274566
