greenness degree,cleanliness degree,crowdedness degree,noisy degree,skin feeling degree,stress degree,personal aqi degree,safety degree,hum,tem,uv,part_of_day_Afternoon,part_of_day_Early Morning,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,Temperature,Dew Point,Humidity,Wind Speed,Pressure
2,2,3,3,3,2,4,2,81.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.248496030706109,33.888888888888886,25.0,59,6,29.7
3,4,3,2,3,2,2,3,57.0,35,16.0,1.0,0.0,0.0,0.0,1.0,0.0,6.8538417686334725,32.22222222222222,25.0,66,7,29.73
5,5,3,2,5,5,1,5,61.0,33,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.434866702959665,32.22222222222222,25.0,66,7,29.73
3,3,4,4,3,2,3,3,55.0,36,26.0,0.0,0.0,0.0,1.0,0.0,1.0,7.398967478187786,28.88888888888889,27.22222222222222,89,6,29.73
3,3,4,4,2,2,3,2,79.0,31,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.9197071907894525,31.11111111111111,25.0,70,12,29.64
2,2,5,5,1,1,5,1,77.0,31,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.644202397852575,31.11111111111111,25.0,70,8,29.67
3,4,3,3,5,5,1,4,62.0,33,145.0,0.0,0.0,0.0,1.0,1.0,0.0,6.777328015657088,31.11111111111111,25.0,70,1,29.73
1,1,3,3,2,2,2,2,53.0,36,50.0,1.0,0.0,0.0,0.0,1.0,0.0,5.5698732630988665,32.77777777777778,23.88888888888889,59,2,29.67
3,3,5,5,2,2,5,2,48.0,38,129.0,0.0,0.0,1.0,0.0,0.0,1.0,6.6221570848867275,27.77777777777778,23.88888888888889,79,1,29.7
3,4,3,3,5,5,4,2,55.0,35,69.0,0.0,0.0,0.0,1.0,0.0,1.0,6.960822634949151,27.22222222222222,26.11111111111111,94,2,29.76
2,1,4,4,3,1,4,2,61.0,35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.538193478225584,31.11111111111111,25.0,70,10,29.67
4,4,2,2,4,4,2,4,68.0,33,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.410632053795693,32.22222222222222,25.0,66,7,29.67
2,2,3,4,3,2,3,2,77.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.416159928752833,28.88888888888889,27.22222222222222,89,6,29.73
3,3,5,5,3,3,3,2,85.0,29,2.0,0.0,0.0,0.0,1.0,0.0,1.0,6.814369445451418,28.88888888888889,26.11111111111111,84,0,29.73
3,2,3,3,2,2,3,2,56.0,36,71.0,0.0,0.0,0.0,1.0,0.0,1.0,7.180357448916791,31.11111111111111,25.0,70,10,29.76
2,2,5,5,1,2,4,1,61.0,34,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.30072547608243,32.77777777777778,23.88888888888889,59,6,29.73
2,2,3,3,3,2,2,2,51.0,37,536.0,1.0,0.0,0.0,0.0,1.0,0.0,6.426916396226491,32.77777777777778,25.0,63,7,29.64
4,4,4,3,3,3,3,3,89.0,28,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.061095896921059,27.77777777777778,26.11111111111111,89,2,29.73
3,3,2,2,3,2,2,2,78.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.23432907639552,27.77777777777778,26.11111111111111,89,5,29.7
