timestamp,hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport
2020-02-28 08:17:00,79,29,0,0.0,0.0,1.0,0.0,1.0,4.404374530544837
2020-02-28 08:17:55,81,29,0,0.0,0.0,1.0,0.0,1.0,4.50205531701223
2020-02-28 08:18:13,81,30,0,0.0,0.0,1.0,0.0,1.0,4.5087380952266125
2020-02-28 08:18:34,81,29,0,0.0,0.0,1.0,0.0,1.0,4.54765008245087
2020-02-28 08:19:25,75,29,0,0.0,0.0,1.0,0.0,1.0,4.685360916500605
2020-02-28 08:19:39,76,30,0,0.0,0.0,1.0,0.0,1.0,4.709104811337448
2020-02-28 08:20:14,77,28,0,0.0,0.0,1.0,0.0,1.0,4.7743600549040615
2020-02-28 08:20:31,80,28,0,0.0,0.0,1.0,0.0,1.0,4.836243645206287
2020-02-28 08:21:19,82,29,0,0.0,0.0,1.0,0.0,1.0,4.844609880127059
2020-02-28 08:21:44,79,29,0,0.0,0.0,1.0,0.0,1.0,4.8110823295689125
2020-02-28 08:22:05,79,29,0,0.0,0.0,1.0,0.0,1.0,4.80852734541871
2020-02-28 08:22:57,80,30,0,0.0,0.0,1.0,0.0,1.0,4.8115711632948335
2020-02-28 08:23:13,80,28,0,0.0,0.0,1.0,0.0,1.0,4.8128709773936995
2020-02-28 08:23:46,79,29,0,0.0,0.0,1.0,0.0,1.0,4.83842024032766
2020-02-28 08:24:09,80,29,0,0.0,0.0,1.0,0.0,1.0,4.863045530243266
2020-02-28 08:24:36,78,29,0,0.0,0.0,1.0,0.0,1.0,4.8508357378335045
2020-02-28 08:25:27,76,29,0,0.0,0.0,1.0,0.0,1.0,4.778813484112666
2020-02-28 08:25:46,77,29,0,0.0,0.0,1.0,0.0,1.0,4.776471546697564
2020-02-28 08:26:18,78,30,0,0.0,0.0,1.0,0.0,1.0,4.775004671931664
2020-02-28 08:26:39,78,31,0,0.0,0.0,1.0,0.0,1.0,4.773367515854054
2020-02-28 08:27:14,85,30,0,0.0,0.0,1.0,0.0,1.0,4.783524502557708
2020-02-28 08:27:53,86,30,0,0.0,0.0,1.0,0.0,1.0,4.791680545791117
2020-02-28 08:28:16,84,31,0,0.0,0.0,1.0,0.0,1.0,4.850666258406999
2020-02-28 08:28:46,75,30,0,0.0,0.0,1.0,0.0,1.0,4.9382048577510815
2020-02-28 08:29:23,75,30,0,0.0,0.0,1.0,0.0,1.0,5.030552960211619
2020-02-28 08:29:53,74,30,0,0.0,0.0,1.0,0.0,1.0,5.0080260300015915
2020-02-28 08:30:21,77,31,0,0.0,0.0,1.0,0.0,1.0,5.0092058754521664
2020-02-28 08:30:54,76,29,0,0.0,0.0,1.0,0.0,1.0,5.053190105018046
2020-02-28 08:31:01,76,30,0,0.0,0.0,1.0,0.0,1.0,5.07434711755909
2020-02-28 08:31:59,77,30,0,0.0,0.0,1.0,0.0,1.0,5.153439401377652
2020-02-28 08:32:24,76,30,0,0.0,0.0,1.0,0.0,1.0,5.158887774475403
2020-02-28 08:32:33,76,30,0,0.0,0.0,1.0,0.0,1.0,5.160014730312403
2020-02-28 08:33:14,75,30,0,0.0,0.0,1.0,0.0,1.0,5.164138724546476
2020-02-28 08:33:30,74,30,0,0.0,0.0,1.0,0.0,1.0,5.171689255947267
2020-02-28 08:34:25,73,29,0,0.0,0.0,1.0,0.0,1.0,5.025237143891083
2020-02-28 08:34:32,73,29,0,0.0,0.0,1.0,0.0,1.0,5.000893303964149
2020-02-28 08:35:06,71,29,0,0.0,0.0,1.0,0.0,1.0,4.886055965450581
2020-02-28 08:35:30,71,30,0,0.0,0.0,1.0,0.0,1.0,4.801841574051006
2020-02-28 08:36:23,71,30,0,0.0,0.0,1.0,0.0,1.0,4.650371794396707
2020-02-28 08:36:46,70,29,0,0.0,0.0,1.0,0.0,1.0,4.570350794233524
2020-02-28 08:37:14,71,31,0,0.0,0.0,1.0,0.0,1.0,4.486057315826246
2020-02-28 08:37:59,70,30,0,0.0,0.0,1.0,0.0,1.0,4.372713606287678
2020-02-28 08:38:29,70,29,0,0.0,0.0,1.0,0.0,1.0,4.284745679483967
2020-02-28 08:38:43,70,29,0,0.0,0.0,1.0,0.0,1.0,4.242936515875168
2020-02-28 08:39:24,69,29,0,0.0,0.0,1.0,0.0,1.0,4.11006793675506
