greenness degree,cleanliness degree,crowdedness degree,noisy degree,skin feeling degree,stress degree,personal aqi degree,safety degree,hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,num_people,num_motorcycles,num_cars,rms_contrast
2.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,80.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0954843621009314,8,7,5,59.5584656624339
2.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,80.0,35.0,0.0,1.0,0.0,0.0,1.0,0.0,2.3067698539339285,7,0,5,65.0202204129689
2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,86.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,3.969815416337179,9,3,2,81.92274919747878
1.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,88.0,29.0,0.0,0.0,0.0,1.0,0.0,1.0,4.190769802088732,9,3,1,67.20437216161693
2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,81.0,27.0,0.0,0.0,0.0,1.0,0.0,1.0,2.3072409411780925,13,8,1,69.40389870301546
2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,78.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,4.822936084953792,13,8,0,71.8981864693412
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,79.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,1.6093756259181984,0,0,0,3.5464485356098163
2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,84.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,5.184178315659661,8,7,0,72.73272556623506
3.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,60.0,38.0,1.0,1.0,0.0,0.0,1.0,0.0,3.202561632503542,9,6,1,66.99635874589437
1.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,71.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,3.957380709538033,10,5,2,69.19380437935008
3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,72.0,31.0,0.0,0.0,0.0,1.0,0.0,1.0,3.4089937910125205,1,1,0,77.73964589963654
4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,54.0,42.0,1.0,1.0,0.0,0.0,1.0,0.0,2.3965662184675907,11,8,3,62.57808661852263
4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,80.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,2.2254656657939043,13,9,0,73.8316904515778
4.0,4.0,3.0,2.0,5.0,4.0,4.0,4.0,67.0,32.0,0.0,0.0,0.0,1.0,0.0,1.0,5.225498068981291,2,2,0,72.29090626056635
4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,86.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,1.7942608634518116,12,9,1,73.34285535502191
3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,47.0,41.0,1.0,1.0,0.0,0.0,1.0,0.0,4.4542912010336035,8,7,1,71.81900861383431
2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,85.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,4.190769802088732,4,5,2,79.60091981464646
3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,42.0,32.0,0.0,0.0,1.0,0.0,0.0,1.0,2.8237396544475883,6,6,3,65.17787263054497
4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,65.0,37.0,0.0,1.0,0.0,0.0,1.0,0.0,4.8259398802743165,11,8,1,76.48173260731609
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,74.0,31.0,0.0,0.0,0.0,1.0,0.0,1.0,4.855726443370384,4,5,0,66.33399244670832
